PROJECT	SPECTRA_IN_REL_CLUSTERS	CORRECT_SPECTRA	INCORRECT_SPECTRA	CONTAMINANT_CORRECT_SPECTRA	CONTAMINANT_INCORRECT_SPECTRA
PRD000020;PRIDE_Exp_Complete_Ac_1788.xml	38	37	1	NA	NA
PRD000020;PRIDE_Exp_Complete_Ac_1790.xml	62	62	NA	NA	NA
PRD000020;PRIDE_Exp_Complete_Ac_1791.xml	164	162	2	5	NA
PRD000020;PRIDE_Exp_Complete_Ac_1792.xml	138	138	NA	1	NA
PRD000020;PRIDE_Exp_Complete_Ac_1793.xml	150	148	2	NA	NA
PRD000020;PRIDE_Exp_Complete_Ac_1794.xml	4	4	NA	NA	NA
PRD000020;PRIDE_Exp_Complete_Ac_1795.xml	18	18	NA	NA	NA
PRD000020;PRIDE_Exp_Complete_Ac_1796.xml	31	31	NA	2	NA
PRD000020;PRIDE_Exp_Complete_Ac_1797.xml	57	56	1	2	NA
PRD000020;PRIDE_Exp_Complete_Ac_1798.xml	11	11	NA	NA	NA
PRD000020;PRIDE_Exp_Complete_Ac_1799.xml	10	10	NA	1	NA
PRD000020;PRIDE_Exp_Complete_Ac_1800.xml	81	77	4	2	NA
PRD000020;PRIDE_Exp_Complete_Ac_1801.xml	9	9	NA	NA	NA
PRD000020;PRIDE_Exp_Complete_Ac_1802.xml	12	12	NA	1	NA
PRD000020;PRIDE_Exp_Complete_Ac_1806.xml	27	27	NA	NA	NA
PRD000020;PRIDE_Exp_Complete_Ac_1807.xml	19	19	NA	5	NA
PRD000020;PRIDE_Exp_Complete_Ac_1808.xml	61	61	NA	10	NA
PRD000020;PRIDE_Exp_Complete_Ac_1809.xml	11	11	NA	NA	NA
PRD000020;PRIDE_Exp_Complete_Ac_1810.xml	13	13	NA	NA	NA
PRD000020;PRIDE_Exp_Complete_Ac_1811.xml	45	44	1	NA	NA
PRD000020;PRIDE_Exp_Complete_Ac_1812.xml	57	57	NA	2	NA
PRD000020;PRIDE_Exp_Complete_Ac_1813.xml	109	109	NA	2	NA
PRD000020;PRIDE_Exp_Complete_Ac_1814.xml	38	36	2	13	NA
PRD000020;PRIDE_Exp_Complete_Ac_1846.xml	32	32	NA	1	NA
PRD000020;PRIDE_Exp_Complete_Ac_1847.xml	163	163	NA	82	NA
PRD000020;PRIDE_Exp_Complete_Ac_1848.xml	217	203	14	36	7
PRD000020;PRIDE_Exp_Complete_Ac_1849.xml	177	161	16	35	3
PRD000020;PRIDE_Exp_Complete_Ac_1850.xml	725	623	102	173	22
PRD000020;PRIDE_Exp_Complete_Ac_1851.xml	803	719	84	212	22
PRD000020;PRIDE_Exp_Complete_Ac_1852.xml	233	220	13	40	5
PRD000020;PRIDE_Exp_Complete_Ac_1853.xml	8	8	NA	1	NA
PRD000029;PRIDE_Exp_Complete_Ac_2360.xml	1	1	NA	NA	NA
PRD000029;PRIDE_Exp_Complete_Ac_2361.xml	1	1	NA	1	NA
PRD000032;PRIDE_Exp_Complete_Ac_2445.xml	16	NA	16	NA	NA
PRD000032;PRIDE_Exp_Complete_Ac_2446.xml	3	NA	3	NA	NA
PRD000032;PRIDE_Exp_Complete_Ac_2447.xml	24	NA	24	NA	NA
PRD000032;PRIDE_Exp_Complete_Ac_2450.xml	3	NA	3	NA	NA
PRD000032;PRIDE_Exp_Complete_Ac_2451.xml	9	NA	9	NA	NA
PRD000032;PRIDE_Exp_Complete_Ac_2452.xml	6	2	4	NA	NA
PRD000032;PRIDE_Exp_Complete_Ac_2456.xml	2	NA	2	NA	NA
PRD000032;PRIDE_Exp_Complete_Ac_2459.xml	7	NA	7	NA	NA
PRD000032;PRIDE_Exp_Complete_Ac_2460.xml	13	NA	13	NA	NA
PRD000032;PRIDE_Exp_Complete_Ac_2461.xml	7	NA	7	NA	NA
PRD000032;PRIDE_Exp_Complete_Ac_2462.xml	1	1	NA	NA	NA
PRD000032;PRIDE_Exp_Complete_Ac_2463.xml	2	NA	2	NA	NA
PRD000032;PRIDE_Exp_Complete_Ac_2464.xml	7	NA	7	NA	NA
PRD000032;PRIDE_Exp_Complete_Ac_2465.xml	10	NA	10	NA	NA
PRD000032;PRIDE_Exp_Complete_Ac_2466.xml	9	NA	9	NA	NA
PRD000032;PRIDE_Exp_Complete_Ac_2467.xml	4	NA	4	NA	NA
PRD000032;PRIDE_Exp_Complete_Ac_2468.xml	9	NA	9	NA	NA
PRD000032;PRIDE_Exp_Complete_Ac_2469.xml	11	NA	11	NA	NA
PRD000032;PRIDE_Exp_Complete_Ac_2470.xml	10	NA	10	NA	NA
PRD000032;PRIDE_Exp_Complete_Ac_2471.xml	12	NA	12	NA	NA
PRD000032;PRIDE_Exp_Complete_Ac_2475.xml	25	NA	25	NA	NA
PRD000032;PRIDE_Exp_Complete_Ac_2476.xml	6	NA	6	NA	NA
PRD000032;PRIDE_Exp_Complete_Ac_2478.xml	1	1	NA	NA	NA
PRD000032;PRIDE_Exp_Complete_Ac_2480.xml	4	4	NA	NA	NA
PRD000032;PRIDE_Exp_Complete_Ac_2481.xml	6	NA	6	NA	NA
PRD000032;PRIDE_Exp_Complete_Ac_2482.xml	1	NA	1	NA	NA
PRD000032;PRIDE_Exp_Complete_Ac_2483.xml	1	NA	1	NA	NA
PRD000032;PRIDE_Exp_Complete_Ac_2484.xml	41	11	30	NA	1
PRD000032;PRIDE_Exp_Complete_Ac_2485.xml	2	NA	2	NA	NA
PRD000032;PRIDE_Exp_Complete_Ac_2486.xml	29	NA	29	NA	NA
PRD000032;PRIDE_Exp_Complete_Ac_2487.xml	4	NA	4	NA	NA
PRD000032;PRIDE_Exp_Complete_Ac_2488.xml	2	2	NA	NA	NA
PRD000032;PRIDE_Exp_Complete_Ac_2489.xml	2	1	1	NA	1
PRD000032;PRIDE_Exp_Complete_Ac_2490.xml	1	1	NA	NA	NA
PRD000032;PRIDE_Exp_Complete_Ac_2492.xml	4	NA	4	NA	NA
PRD000032;PRIDE_Exp_Complete_Ac_2493.xml	2	NA	2	NA	NA
PRD000032;PRIDE_Exp_Complete_Ac_2494.xml	1	NA	1	NA	NA
PRD000032;PRIDE_Exp_Complete_Ac_2495.xml	1	1	NA	NA	NA
PRD000032;PRIDE_Exp_Complete_Ac_2496.xml	1	1	NA	NA	NA
PRD000032;PRIDE_Exp_Complete_Ac_2498.xml	1	1	NA	NA	NA
PRD000032;PRIDE_Exp_Complete_Ac_2499.xml	1	NA	1	NA	NA
PRD000032;PRIDE_Exp_Complete_Ac_2500.xml	9	1	8	NA	NA
PRD000032;PRIDE_Exp_Complete_Ac_2501.xml	5	NA	5	NA	NA
PRD000032;PRIDE_Exp_Complete_Ac_2502.xml	5	NA	5	NA	NA
PRD000032;PRIDE_Exp_Complete_Ac_2503.xml	2	NA	2	NA	NA
PRD000032;PRIDE_Exp_Complete_Ac_2504.xml	2	NA	2	NA	NA
PRD000032;PRIDE_Exp_Complete_Ac_2505.xml	2	NA	2	NA	NA
PRD000032;PRIDE_Exp_Complete_Ac_2506.xml	3	NA	3	NA	NA
PRD000032;PRIDE_Exp_Complete_Ac_2507.xml	8	NA	8	NA	1
PRD000032;PRIDE_Exp_Complete_Ac_2508.xml	11	NA	11	NA	NA
PRD000032;PRIDE_Exp_Complete_Ac_2509.xml	15	NA	15	NA	2
PRD000032;PRIDE_Exp_Complete_Ac_2510.xml	19	NA	19	NA	NA
PRD000032;PRIDE_Exp_Complete_Ac_2511.xml	4	NA	4	NA	NA
PRD000032;PRIDE_Exp_Complete_Ac_2512.xml	1	NA	1	NA	NA
PRD000032;PRIDE_Exp_Complete_Ac_2513.xml	4	NA	4	NA	1
PRD000032;PRIDE_Exp_Complete_Ac_2514.xml	4	NA	4	NA	NA
PRD000032;PRIDE_Exp_Complete_Ac_2518.xml	7	NA	7	NA	NA
PRD000032;PRIDE_Exp_Complete_Ac_2519.xml	9	NA	9	NA	NA
PRD000032;PRIDE_Exp_Complete_Ac_2520.xml	18	17	1	NA	NA
PRD000032;PRIDE_Exp_Complete_Ac_2521.xml	2	NA	2	NA	NA
PRD000032;PRIDE_Exp_Complete_Ac_2522.xml	9	9	NA	NA	NA
PRD000032;PRIDE_Exp_Complete_Ac_2524.xml	17	NA	17	NA	NA
PRD000032;PRIDE_Exp_Complete_Ac_2525.xml	41	NA	41	NA	NA
PRD000032;PRIDE_Exp_Complete_Ac_2526.xml	12	NA	12	NA	NA
PRD000032;PRIDE_Exp_Complete_Ac_2527.xml	9	NA	9	NA	NA
PRD000032;PRIDE_Exp_Complete_Ac_2528.xml	13	NA	13	NA	NA
PRD000032;PRIDE_Exp_Complete_Ac_2529.xml	1	NA	1	NA	NA
PRD000032;PRIDE_Exp_Complete_Ac_2530.xml	3	NA	3	NA	NA
PRD000032;PRIDE_Exp_Complete_Ac_2531.xml	2	NA	2	NA	NA
PRD000032;PRIDE_Exp_Complete_Ac_2532.xml	2	NA	2	NA	NA
PRD000032;PRIDE_Exp_Complete_Ac_2533.xml	3	NA	3	NA	NA
PRD000032;PRIDE_Exp_Complete_Ac_2534.xml	1	NA	1	NA	NA
PRD000032;PRIDE_Exp_Complete_Ac_2535.xml	1	NA	1	NA	NA
PRD000032;PRIDE_Exp_Complete_Ac_2536.xml	1	NA	1	NA	NA
PRD000032;PRIDE_Exp_Complete_Ac_2537.xml	2	NA	2	NA	NA
PRD000032;PRIDE_Exp_Complete_Ac_2538.xml	2	NA	2	NA	NA
PRD000032;PRIDE_Exp_Complete_Ac_2539.xml	5	NA	5	NA	NA
PRD000032;PRIDE_Exp_Complete_Ac_2540.xml	2	NA	2	NA	NA
PRD000032;PRIDE_Exp_Complete_Ac_2541.xml	3	NA	3	NA	NA
PRD000032;PRIDE_Exp_Complete_Ac_2542.xml	2	NA	2	NA	NA
PRD000032;PRIDE_Exp_Complete_Ac_2543.xml	4	NA	4	NA	NA
PRD000032;PRIDE_Exp_Complete_Ac_2544.xml	4	4	NA	NA	NA
PRD000032;PRIDE_Exp_Complete_Ac_2545.xml	6	NA	6	NA	NA
PRD000032;PRIDE_Exp_Complete_Ac_2546.xml	1	NA	1	NA	NA
PRD000032;PRIDE_Exp_Complete_Ac_2548.xml	4	NA	4	NA	NA
PRD000032;PRIDE_Exp_Complete_Ac_2549.xml	7	NA	7	NA	NA
PRD000032;PRIDE_Exp_Complete_Ac_2550.xml	20	NA	20	NA	NA
PRD000032;PRIDE_Exp_Complete_Ac_2551.xml	4	NA	4	NA	NA
PRD000032;PRIDE_Exp_Complete_Ac_2552.xml	11	NA	11	NA	NA
PRD000032;PRIDE_Exp_Complete_Ac_2553.xml	10	NA	10	NA	1
PRD000032;PRIDE_Exp_Complete_Ac_2554.xml	4	NA	4	NA	NA
PRD000032;PRIDE_Exp_Complete_Ac_2555.xml	2	NA	2	NA	NA
PRD000032;PRIDE_Exp_Complete_Ac_2556.xml	1	NA	1	NA	NA
PRD000032;PRIDE_Exp_Complete_Ac_2557.xml	2	NA	2	NA	NA
PRD000032;PRIDE_Exp_Complete_Ac_2558.xml	12	NA	12	NA	NA
PRD000032;PRIDE_Exp_Complete_Ac_2559.xml	2	NA	2	NA	NA
PRD000032;PRIDE_Exp_Complete_Ac_2561.xml	1	NA	1	NA	NA
PRD000032;PRIDE_Exp_Complete_Ac_2562.xml	3	NA	3	NA	NA
PRD000032;PRIDE_Exp_Complete_Ac_2564.xml	4	NA	4	NA	NA
PRD000032;PRIDE_Exp_Complete_Ac_2565.xml	5	1	4	NA	NA
PRD000032;PRIDE_Exp_Complete_Ac_2566.xml	4	NA	4	NA	NA
PRD000032;PRIDE_Exp_Complete_Ac_2567.xml	4	NA	4	NA	NA
PRD000032;PRIDE_Exp_Complete_Ac_2568.xml	13	10	3	NA	NA
PRD000032;PRIDE_Exp_Complete_Ac_2569.xml	3	NA	3	NA	NA
PRD000032;PRIDE_Exp_Complete_Ac_2570.xml	1	1	NA	NA	NA
PRD000032;PRIDE_Exp_Complete_Ac_2571.xml	1	NA	1	NA	NA
PRD000032;PRIDE_Exp_Complete_Ac_2572.xml	3	NA	3	NA	NA
PRD000032;PRIDE_Exp_Complete_Ac_2574.xml	7	NA	7	NA	1
PRD000032;PRIDE_Exp_Complete_Ac_2575.xml	2	NA	2	NA	NA
PRD000032;PRIDE_Exp_Complete_Ac_2577.xml	2	NA	2	NA	NA
PRD000032;PRIDE_Exp_Complete_Ac_2578.xml	3	NA	3	NA	NA
PRD000032;PRIDE_Exp_Complete_Ac_2579.xml	1	NA	1	NA	NA
PRD000032;PRIDE_Exp_Complete_Ac_2581.xml	15	NA	15	NA	NA
PRD000032;PRIDE_Exp_Complete_Ac_2582.xml	12	NA	12	NA	NA
PRD000032;PRIDE_Exp_Complete_Ac_2583.xml	4	NA	4	NA	NA
PRD000032;PRIDE_Exp_Complete_Ac_2584.xml	8	NA	8	NA	2
PRD000032;PRIDE_Exp_Complete_Ac_2585.xml	4	NA	4	NA	1
PRD000032;PRIDE_Exp_Complete_Ac_2586.xml	6	NA	6	NA	2
PRD000032;PRIDE_Exp_Complete_Ac_2587.xml	26	NA	26	NA	2
PRD000032;PRIDE_Exp_Complete_Ac_2588.xml	16	NA	16	NA	3
PRD000032;PRIDE_Exp_Complete_Ac_2589.xml	16	NA	16	NA	NA
PRD000032;PRIDE_Exp_Complete_Ac_2590.xml	13	NA	13	NA	NA
PRD000032;PRIDE_Exp_Complete_Ac_2591.xml	18	NA	18	NA	NA
PRD000032;PRIDE_Exp_Complete_Ac_2592.xml	4	NA	4	NA	NA
PRD000032;PRIDE_Exp_Complete_Ac_2593.xml	10	NA	10	NA	1
PRD000032;PRIDE_Exp_Complete_Ac_2594.xml	6	NA	6	NA	NA
PRD000032;PRIDE_Exp_Complete_Ac_2595.xml	4	NA	4	NA	NA
PRD000032;PRIDE_Exp_Complete_Ac_2596.xml	7	NA	7	NA	NA
PRD000032;PRIDE_Exp_Complete_Ac_2597.xml	1	NA	1	NA	NA
PRD000032;PRIDE_Exp_Complete_Ac_2598.xml	8	NA	8	NA	NA
PRD000032;PRIDE_Exp_Complete_Ac_2599.xml	3	NA	3	NA	NA
PRD000032;PRIDE_Exp_Complete_Ac_2600.xml	4	NA	4	NA	NA
PRD000032;PRIDE_Exp_Complete_Ac_2601.xml	5	NA	5	NA	NA
PRD000032;PRIDE_Exp_Complete_Ac_2602.xml	1	NA	1	NA	NA
PRD000032;PRIDE_Exp_Complete_Ac_2603.xml	2	NA	2	NA	NA
PRD000032;PRIDE_Exp_Complete_Ac_2604.xml	8	NA	8	NA	NA
PRD000032;PRIDE_Exp_Complete_Ac_2605.xml	5	NA	5	NA	NA
PRD000032;PRIDE_Exp_Complete_Ac_2606.xml	2	NA	2	NA	NA
PRD000032;PRIDE_Exp_Complete_Ac_2607.xml	3	NA	3	NA	NA
PRD000032;PRIDE_Exp_Complete_Ac_2609.xml	6	NA	6	NA	NA
PRD000032;PRIDE_Exp_Complete_Ac_2610.xml	1	NA	1	NA	NA
PRD000032;PRIDE_Exp_Complete_Ac_2611.xml	4	NA	4	NA	NA
PRD000032;PRIDE_Exp_Complete_Ac_2612.xml	2	NA	2	NA	NA
PRD000032;PRIDE_Exp_Complete_Ac_2613.xml	6	NA	6	NA	NA
PRD000032;PRIDE_Exp_Complete_Ac_2615.xml	4	NA	4	NA	NA
PRD000032;PRIDE_Exp_Complete_Ac_2617.xml	4	NA	4	NA	NA
PRD000032;PRIDE_Exp_Complete_Ac_2619.xml	3	NA	3	NA	NA
PRD000032;PRIDE_Exp_Complete_Ac_2621.xml	6	NA	6	NA	NA
PRD000032;PRIDE_Exp_Complete_Ac_2622.xml	2	NA	2	NA	NA
PRD000032;PRIDE_Exp_Complete_Ac_2624.xml	5	NA	5	NA	NA
PRD000032;PRIDE_Exp_Complete_Ac_2625.xml	1	NA	1	NA	NA
PRD000032;PRIDE_Exp_Complete_Ac_2626.xml	13	NA	13	NA	NA
PRD000032;PRIDE_Exp_Complete_Ac_2627.xml	4	NA	4	NA	NA
PRD000032;PRIDE_Exp_Complete_Ac_2628.xml	6	NA	6	NA	NA
PRD000032;PRIDE_Exp_Complete_Ac_2629.xml	3	NA	3	NA	NA
PRD000032;PRIDE_Exp_Complete_Ac_2630.xml	9	3	6	NA	NA
PRD000032;PRIDE_Exp_Complete_Ac_2631.xml	6	NA	6	NA	NA
PRD000032;PRIDE_Exp_Complete_Ac_2632.xml	3	NA	3	NA	NA
PRD000032;PRIDE_Exp_Complete_Ac_2633.xml	3	NA	3	NA	NA
PRD000032;PRIDE_Exp_Complete_Ac_2634.xml	4	NA	4	NA	NA
PRD000032;PRIDE_Exp_Complete_Ac_2635.xml	14	1	13	NA	NA
PRD000032;PRIDE_Exp_Complete_Ac_2636.xml	4	NA	4	NA	NA
PRD000032;PRIDE_Exp_Complete_Ac_2637.xml	21	NA	21	NA	NA
PRD000032;PRIDE_Exp_Complete_Ac_2638.xml	32	NA	32	NA	NA
PRD000032;PRIDE_Exp_Complete_Ac_2640.xml	10	NA	10	NA	NA
PRD000032;PRIDE_Exp_Complete_Ac_2641.xml	44	NA	44	NA	NA
PRD000032;PRIDE_Exp_Complete_Ac_2642.xml	188	188	NA	NA	NA
PRD000032;PRIDE_Exp_Complete_Ac_2643.xml	182	182	NA	NA	NA
PRD000032;PRIDE_Exp_Complete_Ac_2644.xml	228	228	NA	NA	NA
PRD000032;PRIDE_Exp_Complete_Ac_2645.xml	140	139	1	NA	NA
PRD000032;PRIDE_Exp_Complete_Ac_2646.xml	36	NA	36	NA	3
PRD000032;PRIDE_Exp_Complete_Ac_2647.xml	43	NA	43	NA	1
PRD000032;PRIDE_Exp_Complete_Ac_2648.xml	55	NA	55	NA	7
PRD000032;PRIDE_Exp_Complete_Ac_2649.xml	76	NA	76	NA	4
PRD000032;PRIDE_Exp_Complete_Ac_2650.xml	37	NA	37	NA	3
PRD000032;PRIDE_Exp_Complete_Ac_2651.xml	161	NA	161	NA	7
PRD000032;PRIDE_Exp_Complete_Ac_2652.xml	40	NA	40	NA	1
PRD000032;PRIDE_Exp_Complete_Ac_2653.xml	45	NA	45	NA	5
PRD000032;PRIDE_Exp_Complete_Ac_2654.xml	110	NA	110	NA	3
PRD000032;PRIDE_Exp_Complete_Ac_2655.xml	58	NA	58	NA	2
PRD000032;PRIDE_Exp_Complete_Ac_2656.xml	142	NA	142	NA	4
PRD000032;PRIDE_Exp_Complete_Ac_2657.xml	73	NA	73	NA	2
PRD000032;PRIDE_Exp_Complete_Ac_2658.xml	26	NA	26	NA	NA
PRD000032;PRIDE_Exp_Complete_Ac_2659.xml	51	NA	51	NA	1
PRD000032;PRIDE_Exp_Complete_Ac_2660.xml	53	NA	53	NA	4
PRD000032;PRIDE_Exp_Complete_Ac_2661.xml	79	NA	79	NA	2
PRD000032;PRIDE_Exp_Complete_Ac_2662.xml	52	NA	52	NA	NA
PRD000032;PRIDE_Exp_Complete_Ac_2663.xml	72	NA	72	NA	3
PRD000032;PRIDE_Exp_Complete_Ac_2664.xml	101	NA	101	NA	6
PRD000032;PRIDE_Exp_Complete_Ac_2665.xml	44	NA	44	NA	NA
PRD000032;PRIDE_Exp_Complete_Ac_2666.xml	63	NA	63	NA	NA
PRD000032;PRIDE_Exp_Complete_Ac_2667.xml	68	NA	68	NA	1
PRD000032;PRIDE_Exp_Complete_Ac_2668.xml	223	NA	223	NA	15
PRD000032;PRIDE_Exp_Complete_Ac_2669.xml	67	NA	67	NA	3
PRD000032;PRIDE_Exp_Complete_Ac_2670.xml	42	NA	42	NA	3
PRD000032;PRIDE_Exp_Complete_Ac_2671.xml	37	NA	37	NA	1
PRD000032;PRIDE_Exp_Complete_Ac_2672.xml	49	NA	49	NA	3
PRD000032;PRIDE_Exp_Complete_Ac_2673.xml	71	NA	71	NA	NA
PRD000032;PRIDE_Exp_Complete_Ac_2674.xml	165	NA	165	NA	8
PRD000032;PRIDE_Exp_Complete_Ac_2675.xml	108	NA	108	NA	NA
PRD000032;PRIDE_Exp_Complete_Ac_2676.xml	88	NA	88	NA	8
PRD000032;PRIDE_Exp_Complete_Ac_2677.xml	38	NA	38	NA	NA
PRD000032;PRIDE_Exp_Complete_Ac_2678.xml	52	NA	52	NA	2
PRD000032;PRIDE_Exp_Complete_Ac_2679.xml	67	NA	67	NA	5
PRD000032;PRIDE_Exp_Complete_Ac_2680.xml	202	NA	202	NA	14
PRD000032;PRIDE_Exp_Complete_Ac_2681.xml	52	NA	52	NA	1
PRD000032;PRIDE_Exp_Complete_Ac_2682.xml	197	NA	197	NA	4
PRD000032;PRIDE_Exp_Complete_Ac_2683.xml	73	NA	73	NA	4
PRD000032;PRIDE_Exp_Complete_Ac_2684.xml	38	NA	38	NA	NA
PRD000032;PRIDE_Exp_Complete_Ac_2685.xml	94	NA	94	NA	3
PRD000032;PRIDE_Exp_Complete_Ac_2686.xml	165	NA	165	NA	5
PRD000032;PRIDE_Exp_Complete_Ac_2687.xml	48	NA	48	NA	NA
PRD000032;PRIDE_Exp_Complete_Ac_2688.xml	51	NA	51	NA	1
PRD000032;PRIDE_Exp_Complete_Ac_2689.xml	32	NA	32	NA	NA
PRD000032;PRIDE_Exp_Complete_Ac_2690.xml	117	NA	117	NA	6
PRD000032;PRIDE_Exp_Complete_Ac_2691.xml	74	NA	74	NA	3
PRD000032;PRIDE_Exp_Complete_Ac_2692.xml	59	NA	59	NA	1
PRD000032;PRIDE_Exp_Complete_Ac_2693.xml	290	NA	290	NA	4
PRD000032;PRIDE_Exp_Complete_Ac_2694.xml	93	NA	93	NA	1
PRD000032;PRIDE_Exp_Complete_Ac_2695.xml	42	NA	42	NA	2
PRD000032;PRIDE_Exp_Complete_Ac_2696.xml	65	NA	65	NA	NA
PRD000032;PRIDE_Exp_Complete_Ac_2697.xml	48	NA	48	NA	2
PRD000032;PRIDE_Exp_Complete_Ac_2698.xml	99	NA	99	NA	5
PRD000032;PRIDE_Exp_Complete_Ac_2699.xml	82	NA	82	NA	1
PRD000032;PRIDE_Exp_Complete_Ac_2700.xml	62	NA	62	NA	2
PRD000032;PRIDE_Exp_Complete_Ac_2701.xml	46	NA	46	NA	1
PRD000032;PRIDE_Exp_Complete_Ac_2702.xml	65	NA	65	NA	3
PRD000032;PRIDE_Exp_Complete_Ac_2703.xml	63	NA	63	NA	2
PRD000032;PRIDE_Exp_Complete_Ac_2704.xml	55	NA	55	NA	NA
PRD000032;PRIDE_Exp_Complete_Ac_2705.xml	59	NA	59	NA	4
PRD000032;PRIDE_Exp_Complete_Ac_2706.xml	65	NA	65	NA	2
PRD000032;PRIDE_Exp_Complete_Ac_2707.xml	43	NA	43	NA	5
PRD000032;PRIDE_Exp_Complete_Ac_2708.xml	34	NA	34	NA	2
PRD000032;PRIDE_Exp_Complete_Ac_2709.xml	48	NA	48	NA	4
PRD000032;PRIDE_Exp_Complete_Ac_2710.xml	196	NA	196	NA	14
PRD000032;PRIDE_Exp_Complete_Ac_2711.xml	58	NA	58	NA	3
PRD000032;PRIDE_Exp_Complete_Ac_2712.xml	39	NA	39	NA	4
PRD000032;PRIDE_Exp_Complete_Ac_2713.xml	50	NA	50	NA	NA
PRD000032;PRIDE_Exp_Complete_Ac_2714.xml	39	NA	39	NA	NA
PRD000032;PRIDE_Exp_Complete_Ac_2715.xml	52	NA	52	NA	2
PRD000032;PRIDE_Exp_Complete_Ac_2716.xml	77	NA	77	NA	2
PRD000032;PRIDE_Exp_Complete_Ac_2717.xml	130	8	122	NA	5
PRD000032;PRIDE_Exp_Complete_Ac_2718.xml	49	NA	49	NA	1
PRD000032;PRIDE_Exp_Complete_Ac_2719.xml	86	NA	86	NA	1
PRD000032;PRIDE_Exp_Complete_Ac_2720.xml	65	NA	65	NA	3
PRD000032;PRIDE_Exp_Complete_Ac_2721.xml	74	NA	74	NA	4
PRD000032;PRIDE_Exp_Complete_Ac_2722.xml	40	NA	40	NA	2
PRD000032;PRIDE_Exp_Complete_Ac_2723.xml	85	NA	85	NA	1
PRD000032;PRIDE_Exp_Complete_Ac_2724.xml	97	NA	97	NA	3
PRD000032;PRIDE_Exp_Complete_Ac_2725.xml	52	NA	52	NA	2
PRD000032;PRIDE_Exp_Complete_Ac_2726.xml	40	NA	40	NA	4
PRD000032;PRIDE_Exp_Complete_Ac_2727.xml	56	NA	56	NA	1
PRD000032;PRIDE_Exp_Complete_Ac_2728.xml	56	NA	56	NA	4
